Country,Doc Code,Doc Title,Top Group,Asset Element,Variant / Type,Asset Name,Permitted Materials (England),NH References,Uniclass_Co_Code,Uniclass_Co_Desc,Uniclass_En_Code,Uniclass_En_Desc,Uniclass_SL_Code,Uniclass_SL_Desc,Uniclass_EF_Code,Uniclass_EF_Desc,Uniclass_Ss_Code,Uniclass_Ss_Desc,Uniclass_Pr_Code,Uniclass_Pr_Desc
England,GC/GP 100,Introduction to the SHW,Governance,Quality & records,ITPs,Quality & records - ITPs,,,Co_80_35_75,Road networks,En_80_35_74,Roads,SL_80_35,Road spaces,,,,,,
England,GC/GP 100,Introduction to the SHW,Governance,Quality & records,checklists,Quality & records - checklists,,,Co_80_35_75,Road networks,En_80_35_74,Roads,SL_80_35,Road spaces,,,,,,
England,GC/GP 100,Introduction to the SHW,Governance,Quality & records,inspection records,Quality & records - inspection records,,,Co_80_35_75,Road networks,En_80_35_74,Roads,SL_80_35,Road spaces,,,,,,
England,GC/GP 101,General Requirements for the SHW,Governance,Quality & records,ITPs,Quality & records - ITPs,,,Co_80_35_75,Road networks,En_80_35_74,Roads,SL_80_35,Road spaces,,,,,,
England,GC/GP 101,General Requirements for the SHW,Governance,Quality & records,checklists,Quality & records - checklists,,,Co_80_35_75,Road networks,En_80_35_74,Roads,SL_80_35,Road spaces,,,,,,
England,GC/GP 101,General Requirements for the SHW,Governance,Quality & records,inspection records,Quality & records - inspection records,,,Co_80_35_75,Road networks,En_80_35_74,Roads,SL_80_35,Road spaces,,,,,,
England,GC/GP 102,Site and work constraints,Governance,Quality & records,ITPs,Quality & records - ITPs,,,Co_80_35_75,Road networks,En_80_35_74,Roads,SL_80_35,Road spaces,,,,,,
England,GC/GP 102,Site and work constraints,Governance,Quality & records,checklists,Quality & records - checklists,,,Co_80_35_75,Road networks,En_80_35_74,Roads,SL_80_35,Road spaces,,,,,,
England,GC/GP 102,Site and work constraints,Governance,Quality & records,inspection records,Quality & records - inspection records,,,Co_80_35_75,Road networks,En_80_35_74,Roads,SL_80_35,Road spaces,,,,,,
England,GC/GP 103,"Environment, Sustainability and Carbon",Governance,Quality & records,ITPs,Quality & records - ITPs,,,Co_80_35_75,Road networks,En_80_35_74,Roads,SL_80_35,Road spaces,,,,,,
England,GC/GP 103,"Environment, Sustainability and Carbon",Governance,Quality & records,checklists,Quality & records - checklists,,,Co_80_35_75,Road networks,En_80_35_74,Roads,SL_80_35,Road spaces,,,,,,
England,GC/GP 103,"Environment, Sustainability and Carbon",Governance,Quality & records,inspection records,Quality & records - inspection records,,,Co_80_35_75,Road networks,En_80_35_74,Roads,SL_80_35,Road spaces,,,,,,
England,GC/GP 104,"Works data, third party & comms",Governance,Quality & records,ITPs,Quality & records - ITPs,,,Co_80_35_75,Road networks,En_80_35_74,Roads,SL_80_35,Road spaces,,,,,,
England,GC/GP 104,"Works data, third party & comms",Governance,Quality & records,checklists,Quality & records - checklists,,,Co_80_35_75,Road networks,En_80_35_74,Roads,SL_80_35,Road spaces,,,,,,
England,GC/GP 104,"Works data, third party & comms",Governance,Quality & records,inspection records,Quality & records - inspection records,,,Co_80_35_75,Road networks,En_80_35_74,Roads,SL_80_35,Road spaces,,,,,,
England,GC/GP 105,Arrangements for the Overseeing Organisation,Governance,Quality & records,ITPs,Quality & records - ITPs,,,Co_80_35_75,Road networks,En_80_35_74,Roads,SL_80_35,Road spaces,,,,,,
England,GC/GP 105,Arrangements for the Overseeing Organisation,Governance,Quality & records,checklists,Quality & records - checklists,,,Co_80_35_75,Road networks,En_80_35_74,Roads,SL_80_35,Road spaces,,,,,,
England,GC/GP 105,Arrangements for the Overseeing Organisation,Governance,Quality & records,inspection records,Quality & records - inspection records,,,Co_80_35_75,Road networks,En_80_35_74,Roads,SL_80_35,Road spaces,,,,,,
England,GC/GP 106,Working on the highway,Governance,Quality & records,ITPs,Quality & records - ITPs,,,Co_80_35_75,Road networks,En_80_35_74,Roads,SL_80_35,Road spaces,,,,,,
England,GC/GP 106,Working on the highway,Governance,Quality & records,checklists,Quality & records - checklists,,,Co_80_35_75,Road networks,En_80_35_74,Roads,SL_80_35,Road spaces,,,,,,
England,GC/GP 106,Working on the highway,Governance,Quality & records,inspection records,Quality & records - inspection records,,,Co_80_35_75,Road networks,En_80_35_74,Roads,SL_80_35,Road spaces,,,,,,
England,GC/GP 109,Site Preparation and Clearance,Preliminaries,Clearance,vegetation removal,Clearance - vegetation removal,,,Co_80_35_75,Road networks,En_80_35_74,Roads,SL_80_35,Road spaces,,,,,,
England,GC/GP 109,Site Preparation and Clearance,Preliminaries,Clearance,stump removal,Clearance - stump removal,,,Co_80_35_75,Road networks,En_80_35_74,Roads,SL_80_35,Road spaces,,,,,,
England,GC/GP 109,Site Preparation and Clearance,Preliminaries,Clearance,topsoil strip,Clearance - topsoil strip,,,Co_80_35_75,Road networks,En_80_35_74,Roads,SL_80_35,Road spaces,,,,,,
England,GC/GP 109,Site Preparation and Clearance,Preliminaries,Demolition,small structures,Demolition - small structures,,,Co_80_35_75,Road networks,En_80_35_74,Roads,SL_80_35,Road spaces,EF_20,Structural elements,,,,
England,GC/GP 109,Site Preparation and Clearance,Preliminaries,Demolition,pavement breakout,Demolition - pavement breakout,,,Co_80_35_75,Road networks,En_80_35_74,Roads,SL_80_35,Road spaces,EF_30_60_95,Vehicular pavements,,,,
England,LC/LP 120,Landscape and ecology,Landscaping & Ecology,Planting,trees,Planting - trees,Planting: BS 3936; topsoil/subsoil BS 8601/8601; NH Appendix 30/1,CD 118; NH Landscape Guidance,Co_80_35_75,Road networks,En_80_35_74,Roads,SL_80_35,Road spaces,,,,,,
England,LC/LP 120,Landscape and ecology,Landscaping & Ecology,Planting,shrubs,Planting - shrubs,Planting: BS 3936; topsoil/subsoil BS 8601/8601; NH Appendix 30/1,CD 118; NH Landscape Guidance,Co_80_35_75,Road networks,En_80_35_74,Roads,SL_80_35,Road spaces,,,,,,
England,LC/LP 120,Landscape and ecology,Landscaping & Ecology,Planting,wildflower seeding,Planting - wildflower seeding,Planting: BS 3936; topsoil/subsoil BS 8601/8601; NH Appendix 30/1,CD 118; NH Landscape Guidance,Co_80_35_75,Road networks,En_80_35_74,Roads,SL_80_35,Road spaces,,,,,,
England,LC/LP 120,Landscape and ecology,Landscaping & Ecology,Soil systems,topsoil,Soil systems - topsoil,Planting: BS 3936; topsoil/subsoil BS 8601/8601; NH Appendix 30/1,CD 118; NH Landscape Guidance,Co_80_35_75,Road networks,En_80_35_74,Roads,SL_80_35,Road spaces,,,,,,
England,LC/LP 120,Landscape and ecology,Landscaping & Ecology,Soil systems,subsoil,Soil systems - subsoil,Planting: BS 3936; topsoil/subsoil BS 8601/8601; NH Appendix 30/1,CD 118; NH Landscape Guidance,Co_80_35_75,Road networks,En_80_35_74,Roads,SL_80_35,Road spaces,,,,,,
